Full_Date,Date,Month,Year,Open,High,Low,Close,Adj Close,Volume
21-01-20,21,1,20,1865,1894.27002,1860,1892,1892,3707800
22-01-20,22,1,20,1896.089966,1902.5,1883.339966,1887.459961,1887.459961,3216300
23-01-20,23,1,20,1885.109985,1889.97998,1872.76001,1884.579956,1884.579956,2484600
24-01-20,24,1,20,1891.369995,1894.98999,1847.439941,1861.640015,1861.640015,3766200
27-01-20,27,1,20,1820,1841,1815.339966,1828.339966,1828.339966,3528500
28-01-20,28,1,20,1840.5,1858.109985,1830.02002,1853.25,1853.25,2808000
29-01-20,29,1,20,1864,1874.75,1855.02002,1858,1858,2088000
30-01-20,30,1,20,1858,1872.869995,1850.609985,1870.680054,1870.680054,6327400
31-01-20,31,1,20,2051.469971,2055.719971,2002.27002,2008.719971,2008.719971,15567300
03-02-20,3,2,20,2010.599976,2048.5,2000.25,2004.199951,2004.199951,5899100
04-02-20,4,2,20,2029.880005,2059.800049,2015.369995,2049.669922,2049.669922,5289300
05-02-20,5,2,20,2071.02002,2071.02002,2032,2039.869995,2039.869995,4376200
06-02-20,6,2,20,2041.02002,2056.300049,2024.800049,2050.22998,2050.22998,3183000
07-02-20,7,2,20,2041.98999,2098.530029,2038.099976,2079.280029,2079.280029,5095300
10-02-20,10,2,20,2085.01001,2135.600098,2084.959961,2133.909912,2133.909912,5056200
11-02-20,11,2,20,2150.899902,2185.949951,2136,2150.800049,2150.800049,5746000
12-02-20,12,2,20,2163.199951,2180.25,2155.290039,2160,2160,3334300
13-02-20,13,2,20,2144.98999,2170.280029,2142,2149.870117,2149.870117,3031800
14-02-20,14,2,20,2155.679932,2159.040039,2125.889893,2134.870117,2134.870117,2606200
18-02-20,18,2,20,2125.02002,2166.070068,2124.110107,2155.669922,2155.669922,2945600
19-02-20,19,2,20,2167.800049,2185.100098,2161.120117,2170.219971,2170.219971,2561200
20-02-20,20,2,20,2173.070068,2176.790039,2127.449951,2153.100098,2153.100098,3131300
21-02-20,21,2,20,2142.149902,2144.550049,2088,2095.969971,2095.969971,4646300
24-02-20,24,2,20,2003.180054,2039.300049,1987.969971,2009.290039,2009.290039,6547000
25-02-20,25,2,20,2026.420044,2034.599976,1958.420044,1972.73999,1972.73999,6219100
26-02-20,26,2,20,1970.280029,2014.670044,1960.449951,1979.589966,1979.589966,5224600
27-02-20,27,2,20,1934.380005,1975,1882.76001,1884.300049,1884.300049,8144000
28-02-20,28,2,20,1814.630005,1889.76001,1811.130005,1883.75,1883.75,9493800
02-03-20,2,3,20,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700
03-03-20,3,3,20,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500
04-03-20,4,3,20,1946.569946,1978,1922,1975.829956,1975.829956,4772900
05-03-20,5,3,20,1933,1960.719971,1910,1924.030029,1924.030029,4748200
